Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Enter your unique MTurk Worker ID number ,,,,,,,,,,Do you take nutritional supplements?,,"Following up to the previous question, why do or don't you take nutritional supplements? ",What's the most likely avenue for you to learn about nutrition? ,,,,,,Have you heard of Moringa Oleifera? ,,Where do you normally search for your supplements? ,,,,How likely are you to try a supplement if you read about it in the news? ,,,,,,,What do you look for in a nutritional supplement? (check all that apply),,,,,What is your gender?,
10787682542,236726203,06/10/2019 10:53:34 AM,06/10/2019 10:54:23 AM,108.247.233.242,,,,,A3G3G7SCD88G1J,,,,,,,,,,,No,Dont know what is really beneficial and whats a waste of money,,,Searching Online,,,,,No,,Online,,,,,Somewhat likely,,,,,,,Dosage,,Price,Female,
10787665514,236726203,06/10/2019 10:47:01 AM,06/10/2019 10:48:15 AM,68.111.125.234,,,,,ACCXC5V05C9R9,,,,,,,,,,Yes,,they're helpful,,,Searching Online,,,,Yes,,,Online,,,,,,Neither likely nor unlikely,,,,Organic certification,,Dosage,,Price,Female,
10787664994,236726203,06/10/2019 10:47:18 AM,06/10/2019 10:48:04 AM,73.75.151.81,,,,,ATHS9GUME1XCA,,,,,,,,,,,,dont need them,,Social Media,,,,,,No,,Online,,,,,,,,Unlikely,,,,Dosage,Brand,Price,,Male
10787662031,236726203,06/10/2019 10:46:12 AM,06/10/2019 10:46:57 AM,173.90.75.108,,,,,A2VE5IV9OD2SK1,,,,,,,,,,Yes,,"I am vegetarian, and need the B12 especially. ",,,Searching Online,,,,,No,,Online,,,,Likely,,,,,,Organic certification,Vegan capsule,Dosage,,Price,,Male
10787658296,236726203,06/10/2019 10:45:08 AM,06/10/2019 10:45:37 AM,208.108.81.45,,,,,A1NGXQMOBCXDC3,,,,,,,,,,Yes,,VITAMINS TO STAY HEALTHY,,,,,,Your Doctor,,No,In-store,,,,,,,,Somewhat unlikely,,,,,,,Price,Female,
10787657313,236726203,06/10/2019 10:42:58 AM,06/10/2019 10:45:18 AM,73.79.166.153,,,,,A1CFMY4CEYOM8Y,,,,,,,,,,,No,I have never thought of taking it.,,,Searching Online,,,,,No,,Online,,,,,Somewhat likely,,,,,,,Dosage,Brand,Price,,Male
10787650227,236726203,06/10/2019 10:41:30 AM,06/10/2019 10:42:43 AM,172.58.30.225,,,,,AGNJKSH5LFKXZ,,,,,,,,,,,No,"I do not feel they are beneficial considering the cost, and I prefer to receive my vitamins through the natural consumption of foods.",,,Searching Online,,,,,No,,Online,,,,,,,,Unlikely,,,,,,Price,,Male
10787648617,236726203,06/10/2019 10:41:13 AM,06/10/2019 10:42:08 AM,73.79.166.153,,,,,A87D3K9YVKTQ7,,,,,,,,,,,No,I never thought about taking them before.,,,,,,Your Doctor,,No,,Online,,,,,Somewhat likely,,,,,,,Dosage,Brand,Price,Female,
10787648480,236726203,06/10/2019 10:41:16 AM,06/10/2019 10:42:05 AM,199.67.51.6,,,,,A356EVHB3TU90R,,,,,,,,,,Yes,,i need them for my eye health,,,,,,Your Doctor,,No,In-store,,,,,,,,Somewhat unlikely,,,,,Dosage,,Price,Female,
10787646758,236726203,06/10/2019 10:40:42 AM,06/10/2019 10:41:29 AM,71.15.41.172,,,,,ACSS93E03ZUGX,,,,,,,,,,Yes,,to maximize my workout,,Social Media,,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,,,,,Price,Female,
10787645893,236726203,06/10/2019 10:40:27 AM,06/10/2019 10:41:09 AM,24.247.122.11,,,,,A258MR1IS96JEP,,,,,,,,,,,No,don't care,,,,,,Your Doctor,,No,In-store,,,,,,,Neither likely nor unlikely,,,,Organic certification,,,,Price,,Male
10787644873,236726203,06/10/2019 10:36:49 AM,06/10/2019 10:40:48 AM,24.18.153.117,,,,,A2CK0OXMPOR9LE,,,,,,,,,,Yes,,I think they can help me out.,,Social Media,,,,,,No,,Online,,,,,,,Somewhat unlikely,,,Organic certification,,Dosage,Brand,Price,,Male
10787644365,236726203,06/10/2019 10:39:39 AM,06/10/2019 10:40:38 AM,73.174.20.206,,,,,AM2W23THD4CI7,,,,,,,,,,Yes,,For better health,,,,,,Your Doctor,,No,In-store,,,,,,,,Somewhat unlikely,,,,,,,Price,Female,
10787642965,236726203,06/10/2019 10:39:22 AM,06/10/2019 10:40:10 AM,73.167.72.2,,,,,A21HDHQPENLF2X,,,,,,,,,,Yes,,I am genetically disposed to a vitamin deficiency.,,,,,,Your Doctor,,No,,Online,,,,,,Neither likely nor unlikely,,,,Organic certification,,Dosage,Brand,Price,,Male
10787642820,236726203,06/10/2019 10:39:21 AM,06/10/2019 10:40:06 AM,67.149.230.40,,,,,A3J2UG22S8BIW4,,,,,,,,,,,No,I get more of the vitamins and nutrients I need from the food that I eat.,,,Searching Online,,,,,No,,Online,,,,,,,,Unlikely,,,,Dosage,,Price,,Male
10787638447,236726203,06/10/2019 10:37:26 AM,06/10/2019 10:38:33 AM,100.2.231.150,,,,,A2JPOXYZM5AJZZ,,,,,,,,,,,No,there is no real proof that it actually works.,,,Searching Online,,,,,No,,,,I grow my nutrients myself,,,,,,Unlikely,,Organic certification,,,,,,Male
10787637910,236726203,06/10/2019 10:37:32 AM,06/10/2019 10:38:21 AM,170.167.193.34,,,,,AYUREWGFQG5JV,,,,,,,,,,Yes,,I have been encouraged to take a multi vitamin by my doctor.,,,,,,Your Doctor,,No,In-store,,,,,,Somewhat likely,,,,,,,,,Price,Female,
10787635317,236726203,06/10/2019 10:36:10 AM,06/10/2019 10:37:29 AM,47.196.108.221,,,,,A2IUT0610X9CV0,,,,,,,,,,Yes,,Helps me keep vitamins in my body I don't have the healthiest diet,,,Searching Online,,,,,No,,Online,,,,Likely,,,,,,,,,,Price,,Male
10787635282,236726203,06/10/2019 10:36:42 AM,06/10/2019 10:37:23 AM,67.78.179.62,,,,,A1BVQEM4JM0XH3,,,,,,,,,,Yes,,To get as much nutrition as possible,,,Searching Online,,,,,No,,Online,,,,,Somewhat likely,,,,,,,Dosage,Brand,Price,Female,
10787635247,236726203,06/10/2019 10:36:44 AM,06/10/2019 10:37:23 AM,216.81.81.80,,,,,AQ53YJDPDDLZ,,,,,,,,,,Yes,,Cuz my doctor suggested it. ,,,,,,Your Doctor,,No,,Online,,,,,Somewhat likely,,,,,,,,Brand,Price,,Male
10787635205,236726203,06/10/2019 10:36:14 AM,06/10/2019 10:37:23 AM,24.225.103.220,,,,,AUOYNTK0GOFOM,,,,,,,,,,Yes,,I take them because I don't believe in my normal preferred diet I get some of the substances my body needs.,,,Searching Online,,,,,No,,Online,,,,,Somewhat likely,,,,,,,Dosage,Brand,Price,,Male
10787633788,236726203,06/10/2019 10:36:21 AM,06/10/2019 10:36:52 AM,70.177.181.202,,,,,A3UUH3632AI3ZX,,,,,,,,,,Yes,,i don't get a lot of certain vitamins,,,Searching Online,,,,,No,,Online,,,Very likely,,,,,,,Organic certification,,Dosage,Brand,Price,Female,
10787633730,236726203,06/10/2019 10:35:48 AM,06/10/2019 10:36:54 AM,68.81.42.79,,,,,A26ZENZ5G8AEGM,,,,,,,,,,Yes,,to remedy a deficiency in vitamin D,,,Searching Online,,,,,No,In-store,,,,,,,,,,Very unlikely,,,,,Price,Female,
10787632680,236726203,06/10/2019 10:35:18 AM,06/10/2019 10:36:27 AM,73.119.218.69,,,,,A3QSJY1FFN0N6V,,,,,,,,,,,No,I don't take supplements because I've heard that your body doesn't really absorb them like it does when you eat the food with the same nutrients in it and you just pee the nutrients from supplements out.,,,,,Online news,,,No,In-store,,,,,,,,,Unlikely,,,,Dosage,,Price,Female,
10787632186,236726203,06/10/2019 10:35:15 AM,06/10/2019 10:36:16 AM,12.179.54.134,,,,,AFKZZEURTCR8U,,,,,,,,,,Yes,,I take fish oil and a multivitamin as I believe they have a positive benefit for me.,,,Searching Online,,,,,No,,Online,,,,,Somewhat likely,,,,,Organic certification,,,,Price,,Male
10787632150,236726203,06/10/2019 10:35:15 AM,06/10/2019 10:36:16 AM,47.27.112.139,,,,,A8BGHKGBA8O33,,,,,,,,,,,No,I get my nutrients from food instead of pills.,,,Searching Online,,,,,No,,Online,,,,,,,Somewhat unlikely,,,Organic certification,,,Brand,Price,,Male
10787628412,236726203,06/10/2019 10:34:13 AM,06/10/2019 10:34:53 AM,67.253.179.234,,,,,A2LEY4X3LD8G26,,,,,,,,,,Yes,,I think they help me be healthier overall and might make me live longer in the long term,,,,,,Your Doctor,,No,,Online,,,,,,,Somewhat unlikely,,,,,Dosage,,Price,,Male
